morphology,controller,seed,dt,n_steps,T_SLA,q_chip,pid_Kp,pid_Ki,pid_Kd,gate_N,gate_T_window,gate_T_refractory,kWh_ctrl,sla_violations,sla_max_exceedance,chatter_count,settling_time
Fins_20,PID,1,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,4,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,6,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,7,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,8,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,10,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,11,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Fins_20,PID,13,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,16.80000114440918,1784,0.05128884315490723,168,-1
Random_0.4,PID,1,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,21.700000762939453,1835,0.05144244432449341,217,-1
Random_0.4,PID,4,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,19.899999618530273,1811,0.05150657892227173,199,-1
Random_0.4,PID,6,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,22.399999618530273,1843,0.051477670669555664,224,-1
Random_0.4,PID,7,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,20.200000762939453,1825,0.051410555839538574,202,3999
Random_0.4,PID,8,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,21.700000762939453,1844,0.051315903663635254,217,-1
Random_0.4,PID,10,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,20.80000114440918,1827,0.05124431848526001,208,3998
Random_0.4,PID,11,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,20.600000381469727,1825,0.051626622676849365,206,-1
Random_0.4,PID,13,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,21.399999618530273,1835,0.051307737827301025,214,-1
Xylem,PID,1,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,10.5,1654,0.05138593912124634,105,-1
Xylem,PID,4,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,7.599999904632568,1607,0.05152028799057007,76,-1
Xylem,PID,6,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,11.699999809265137,1684,0.05128741264343262,117,3998
Xylem,PID,7,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,15.699999809265137,1736,0.051313698291778564,157,-1
Xylem,PID,8,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,15.600000381469727,1753,0.05027115345001221,76,-1
Xylem,PID,10,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,5.200000286102295,1533,0.05130767822265625,52,-1
Xylem,PID,11,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,3.799999952316284,1475,0.04952758550643921,38,3997
Xylem,PID,13,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,18.100000381469727,1795,0.05116617679595947,180,3999
Xylem,PID+Gate,1,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,10.600000381469727,1544,0.058179616928100586,53,-1
Xylem,PID+Gate,4,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,7.599999904632568,1486,0.056825101375579834,38,-1
Xylem,PID+Gate,6,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,11.699999809265137,1562,0.06144970655441284,58,-1
Xylem,PID+Gate,7,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,15.600000381469727,1781,0.061599552631378174,77,-1
Xylem,PID+Gate,8,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,15.699999809265137,1625,0.05418199300765991,52,3986
Xylem,PID+Gate,10,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,5.400000095367432,1410,0.052725255489349365,27,3993
Xylem,PID+Gate,11,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,3.799999952316284,1280,0.05067211389541626,19,-1
Xylem,PID+Gate,13,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,18.100000381469727,1901,0.052943646907806396,78,3991
Xylem,AlwaysOn,1,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,4,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,6,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,7,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,8,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,10,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,11,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
Xylem,AlwaysOn,13,0.1,4000,0.85,0.005,8.0,0.3,2.0,3,50,20,400.0,0,0.0,0,0
