morphology,controller,seed,sla_violations,sla_max_exceedance,sla_pass
Fins_20,PID,1,1784,0.05128884315490723,False
Fins_20,PID,4,1784,0.05128884315490723,False
Fins_20,PID,6,1784,0.05128884315490723,False
Fins_20,PID,7,1784,0.05128884315490723,False
Fins_20,PID,8,1784,0.05128884315490723,False
Fins_20,PID,10,1784,0.05128884315490723,False
Fins_20,PID,11,1784,0.05128884315490723,False
Fins_20,PID,13,1784,0.05128884315490723,False
Random_0.4,PID,1,1835,0.05144244432449341,False
Random_0.4,PID,4,1811,0.05150657892227173,False
Random_0.4,PID,6,1843,0.051477670669555664,False
Random_0.4,PID,7,1825,0.051410555839538574,False
Random_0.4,PID,8,1844,0.051315903663635254,False
Random_0.4,PID,10,1827,0.05124431848526001,False
Random_0.4,PID,11,1825,0.051626622676849365,False
Random_0.4,PID,13,1835,0.051307737827301025,False
Xylem,PID,1,1654,0.05138593912124634,False
Xylem,PID,4,1607,0.05152028799057007,False
Xylem,PID,6,1684,0.05128741264343262,False
Xylem,PID,7,1736,0.051313698291778564,False
Xylem,PID,8,1753,0.05027115345001221,False
Xylem,PID,10,1533,0.05130767822265625,False
Xylem,PID,11,1475,0.04952758550643921,False
Xylem,PID,13,1795,0.05116617679595947,False
Xylem,PID+Gate,1,1544,0.058179616928100586,False
Xylem,PID+Gate,4,1486,0.056825101375579834,False
Xylem,PID+Gate,6,1562,0.06144970655441284,False
Xylem,PID+Gate,7,1781,0.061599552631378174,False
Xylem,PID+Gate,8,1625,0.05418199300765991,False
Xylem,PID+Gate,10,1410,0.052725255489349365,False
Xylem,PID+Gate,11,1280,0.05067211389541626,False
Xylem,PID+Gate,13,1901,0.052943646907806396,False
Xylem,AlwaysOn,1,0,0.0,True
Xylem,AlwaysOn,4,0,0.0,True
Xylem,AlwaysOn,6,0,0.0,True
Xylem,AlwaysOn,7,0,0.0,True
Xylem,AlwaysOn,8,0,0.0,True
Xylem,AlwaysOn,10,0,0.0,True
Xylem,AlwaysOn,11,0,0.0,True
Xylem,AlwaysOn,13,0,0.0,True
